"Step","9437184 - loss","9437184 - loss__MIN","9437184 - loss__MAX"
"1","7.095524787902832","7.095524787902832","7.095524787902832"
"2","6.889620780944824","6.889620780944824","6.889620780944824"
"3","6.691771030426025","6.691771030426025","6.691771030426025"
"4","6.4922919273376465","6.4922919273376465","6.4922919273376465"
"5","6.27284049987793","6.27284049987793","6.27284049987793"
"6","6.032702922821045","6.032702922821045","6.032702922821045"
"7","5.8944478034973145","5.8944478034973145","5.8944478034973145"
"8","5.645456790924072","5.645456790924072","5.645456790924072"
"9","5.482298851013184","5.482298851013184","5.482298851013184"
"10","5.357498645782471","5.357498645782471","5.357498645782471"
"11","5.182796001434326","5.182796001434326","5.182796001434326"
"12","5.106019496917725","5.106019496917725","5.106019496917725"
"13","5.017885208129883","5.017885208129883","5.017885208129883"
"14","5.0377631187438965","5.0377631187438965","5.0377631187438965"
"15","4.8183698654174805","4.8183698654174805","4.8183698654174805"
"16","4.860826015472412","4.860826015472412","4.860826015472412"
"17","4.699875354766846","4.699875354766846","4.699875354766846"
"18","4.686407566070557","4.686407566070557","4.686407566070557"
"19","4.6131439208984375","4.6131439208984375","4.6131439208984375"
"20","4.61450719833374","4.61450719833374","4.61450719833374"
"21","4.498688697814941","4.498688697814941","4.498688697814941"
"22","4.442159175872803","4.442159175872803","4.442159175872803"
"23","4.428234577178955","4.428234577178955","4.428234577178955"
"24","4.474765777587891","4.474765777587891","4.474765777587891"
"25","4.35807466506958","4.35807466506958","4.35807466506958"
"26","4.264174938201904","4.264174938201904","4.264174938201904"
"27","4.143869876861572","4.143869876861572","4.143869876861572"
"28","4.283971309661865","4.283971309661865","4.283971309661865"
"29","4.153834342956543","4.153834342956543","4.153834342956543"
"30","4.076328277587891","4.076328277587891","4.076328277587891"
"31","3.968593120574951","3.968593120574951","3.968593120574951"
"32","3.922417402267456","3.922417402267456","3.922417402267456"
"33","3.9406919479370117","3.9406919479370117","3.9406919479370117"
"34","3.9156947135925293","3.9156947135925293","3.9156947135925293"
"35","3.889010190963745","3.889010190963745","3.889010190963745"
"36","3.8797426223754883","3.8797426223754883","3.8797426223754883"
"37","3.7495968341827393","3.7495968341827393","3.7495968341827393"
"38","3.7849860191345215","3.7849860191345215","3.7849860191345215"
"39","3.7102315425872803","3.7102315425872803","3.7102315425872803"
"40","3.6952991485595703","3.6952991485595703","3.6952991485595703"
"41","3.682800531387329","3.682800531387329","3.682800531387329"
"42","3.581270217895508","3.581270217895508","3.581270217895508"
"43","3.5885658264160156","3.5885658264160156","3.5885658264160156"
"44","3.5930917263031006","3.5930917263031006","3.5930917263031006"
"45","3.5342631340026855","3.5342631340026855","3.5342631340026855"
"46","3.6104283332824707","3.6104283332824707","3.6104283332824707"
"47","3.5901005268096924","3.5901005268096924","3.5901005268096924"
"48","3.4009430408477783","3.4009430408477783","3.4009430408477783"
"49","3.458367347717285","3.458367347717285","3.458367347717285"
"50","3.439253091812134","3.439253091812134","3.439253091812134"
"51","3.511582136154175","3.511582136154175","3.511582136154175"
"52","3.4195165634155273","3.4195165634155273","3.4195165634155273"
"53","3.371101140975952","3.371101140975952","3.371101140975952"
"54","3.478304386138916","3.478304386138916","3.478304386138916"
"55","3.423835515975952","3.423835515975952","3.423835515975952"
"56","3.3719120025634766","3.3719120025634766","3.3719120025634766"
"57","3.4601688385009766","3.4601688385009766","3.4601688385009766"
"58","3.3480260372161865","3.3480260372161865","3.3480260372161865"
"59","3.348045825958252","3.348045825958252","3.348045825958252"
"60","3.393389940261841","3.393389940261841","3.393389940261841"
"61","3.4264583587646484","3.4264583587646484","3.4264583587646484"
"62","3.3366336822509766","3.3366336822509766","3.3366336822509766"
"63","3.293872117996216","3.293872117996216","3.293872117996216"
"64","3.2995471954345703","3.2995471954345703","3.2995471954345703"
"65","3.3700854778289795","3.3700854778289795","3.3700854778289795"
"66","3.39024019241333","3.39024019241333","3.39024019241333"
"67","3.3453245162963867","3.3453245162963867","3.3453245162963867"
"68","3.3053135871887207","3.3053135871887207","3.3053135871887207"
"69","3.31387996673584","3.31387996673584","3.31387996673584"
"70","3.2866592407226562","3.2866592407226562","3.2866592407226562"
"71","3.2158684730529785","3.2158684730529785","3.2158684730529785"
"72","3.3589999675750732","3.3589999675750732","3.3589999675750732"
"73","3.254563570022583","3.254563570022583","3.254563570022583"
"74","3.288875102996826","3.288875102996826","3.288875102996826"
"75","3.282233238220215","3.282233238220215","3.282233238220215"
"76","3.2411036491394043","3.2411036491394043","3.2411036491394043"
"77","3.3221116065979004","3.3221116065979004","3.3221116065979004"
"78","3.289654493331909","3.289654493331909","3.289654493331909"
"79","3.2607767581939697","3.2607767581939697","3.2607767581939697"
"80","3.313162088394165","3.313162088394165","3.313162088394165"
"81","3.32088303565979","3.32088303565979","3.32088303565979"
"82","3.186800241470337","3.186800241470337","3.186800241470337"
"83","3.3014564514160156","3.3014564514160156","3.3014564514160156"
"84","3.3405277729034424","3.3405277729034424","3.3405277729034424"
"85","3.1594204902648926","3.1594204902648926","3.1594204902648926"
"86","3.276257276535034","3.276257276535034","3.276257276535034"
"87","3.305673599243164","3.305673599243164","3.305673599243164"
"88","3.255615234375","3.255615234375","3.255615234375"
"89","3.246225357055664","3.246225357055664","3.246225357055664"
"90","3.250734567642212","3.250734567642212","3.250734567642212"
"91","3.2793374061584473","3.2793374061584473","3.2793374061584473"
"92","3.241384744644165","3.241384744644165","3.241384744644165"
"93","3.2256999015808105","3.2256999015808105","3.2256999015808105"
"94","3.2920610904693604","3.2920610904693604","3.2920610904693604"
"95","3.2148900032043457","3.2148900032043457","3.2148900032043457"
"96","3.261307954788208","3.261307954788208","3.261307954788208"
"97","3.255769729614258","3.255769729614258","3.255769729614258"
"98","3.1806583404541016","3.1806583404541016","3.1806583404541016"
"99","3.245178461074829","3.245178461074829","3.245178461074829"
"100","3.206935167312622","3.206935167312622","3.206935167312622"
"101","3.1025030612945557","3.1025030612945557","3.1025030612945557"
"102","3.2598774433135986","3.2598774433135986","3.2598774433135986"
"103","3.2678935527801514","3.2678935527801514","3.2678935527801514"
"104","3.2109925746917725","3.2109925746917725","3.2109925746917725"
"105","3.219078540802002","3.219078540802002","3.219078540802002"
"106","3.0888566970825195","3.0888566970825195","3.0888566970825195"
"107","3.211686611175537","3.211686611175537","3.211686611175537"
"108","3.2091875076293945","3.2091875076293945","3.2091875076293945"
"109","3.2228479385375977","3.2228479385375977","3.2228479385375977"
"110","3.188903570175171","3.188903570175171","3.188903570175171"
"111","3.1870439052581787","3.1870439052581787","3.1870439052581787"
"112","3.178478479385376","3.178478479385376","3.178478479385376"
