"Step","old - loss","old - loss__MIN","old - loss__MAX"
"1","7.0965495109558105","7.0965495109558105","7.0965495109558105"
"2","7.080949306488037","7.080949306488037","7.080949306488037"
"3","7.061286926269531","7.061286926269531","7.061286926269531"
"4","7.044117450714111","7.044117450714111","7.044117450714111"
"5","7.023393154144287","7.023393154144287","7.023393154144287"
"6","7.007187843322754","7.007187843322754","7.007187843322754"
"7","6.989758491516113","6.989758491516113","6.989758491516113"
"8","6.976712226867676","6.976712226867676","6.976712226867676"
"9","6.960508346557617","6.960508346557617","6.960508346557617"
"10","6.944900989532471","6.944900989532471","6.944900989532471"
"11","6.93491792678833","6.93491792678833","6.93491792678833"
"12","6.920299530029297","6.920299530029297","6.920299530029297"
"13","6.907420635223389","6.907420635223389","6.907420635223389"
"14","6.902101039886475","6.902101039886475","6.902101039886475"
"15","6.890547275543213","6.890547275543213","6.890547275543213"
"16","6.8800883293151855","6.8800883293151855","6.8800883293151855"
"17","6.872191905975342","6.872191905975342","6.872191905975342"
"18","6.869259357452393","6.869259357452393","6.869259357452393"
"19","6.866109371185303","6.866109371185303","6.866109371185303"
"20","6.859026908874512","6.859026908874512","6.859026908874512"
"21","6.848964691162109","6.848964691162109","6.848964691162109"
"22","6.840023994445801","6.840023994445801","6.840023994445801"
"23","6.837111949920654","6.837111949920654","6.837111949920654"
"24","6.837037086486816","6.837037086486816","6.837037086486816"
"25","6.829678058624268","6.829678058624268","6.829678058624268"
"26","6.825525283813477","6.825525283813477","6.825525283813477"
"27","6.823631763458252","6.823631763458252","6.823631763458252"
"28","6.821636199951172","6.821636199951172","6.821636199951172"
"29","6.811489105224609","6.811489105224609","6.811489105224609"
"30","6.809703350067139","6.809703350067139","6.809703350067139"
"31","6.786414623260498","6.786414623260498","6.786414623260498"
"32","6.789228916168213","6.789228916168213","6.789228916168213"
"33","6.784165382385254","6.784165382385254","6.784165382385254"
"34","6.785857200622559","6.785857200622559","6.785857200622559"
"35","6.782830715179443","6.782830715179443","6.782830715179443"
"36","6.768256187438965","6.768256187438965","6.768256187438965"
"37","6.7724809646606445","6.7724809646606445","6.7724809646606445"
"38","6.762394905090332","6.762394905090332","6.762394905090332"
"39","6.769090175628662","6.769090175628662","6.769090175628662"
"40","6.7389817237854","6.7389817237854","6.7389817237854"
"41","6.756102561950684","6.756102561950684","6.756102561950684"
"42","6.7412872314453125","6.7412872314453125","6.7412872314453125"
"43","6.743392467498779","6.743392467498779","6.743392467498779"
"44","6.755725860595703","6.755725860595703","6.755725860595703"
"45","6.739933013916016","6.739933013916016","6.739933013916016"
"46","6.723691940307617","6.723691940307617","6.723691940307617"
"47","6.734187602996826","6.734187602996826","6.734187602996826"
"48","6.721828460693359","6.721828460693359","6.721828460693359"
"49","6.7231316566467285","6.7231316566467285","6.7231316566467285"
"50","6.725235939025879","6.725235939025879","6.725235939025879"
"51","6.717355251312256","6.717355251312256","6.717355251312256"
"52","6.722581386566162","6.722581386566162","6.722581386566162"
"53","6.7127909660339355","6.7127909660339355","6.7127909660339355"
"54","6.701756477355957","6.701756477355957","6.701756477355957"
"55","6.710206508636475","6.710206508636475","6.710206508636475"
"56","6.6934814453125","6.6934814453125","6.6934814453125"
"57","6.704383373260498","6.704383373260498","6.704383373260498"
"58","6.692831516265869","6.692831516265869","6.692831516265869"
"59","6.673710823059082","6.673710823059082","6.673710823059082"
"60","6.687434673309326","6.687434673309326","6.687434673309326"
"61","6.695519924163818","6.695519924163818","6.695519924163818"
"62","6.672302722930908","6.672302722930908","6.672302722930908"
"63","6.689316272735596","6.689316272735596","6.689316272735596"
"64","6.6966986656188965","6.6966986656188965","6.6966986656188965"
"65","6.68855619430542","6.68855619430542","6.68855619430542"
"66","6.675743579864502","6.675743579864502","6.675743579864502"
"67","6.693373680114746","6.693373680114746","6.693373680114746"
"68","6.66965389251709","6.66965389251709","6.66965389251709"
"69","6.689141273498535","6.689141273498535","6.689141273498535"
"70","6.690392971038818","6.690392971038818","6.690392971038818"
"71","6.675394058227539","6.675394058227539","6.675394058227539"
"72","6.679906845092773","6.679906845092773","6.679906845092773"
