"Step","new - loss","new - loss__MIN","new - loss__MAX"
"1","7.100651741027832","7.100651741027832","7.100651741027832"
"2","6.976402282714844","6.976402282714844","6.976402282714844"
"3","6.847301006317139","6.847301006317139","6.847301006317139"
"4","6.73732852935791","6.73732852935791","6.73732852935791"
"5","6.606164455413818","6.606164455413818","6.606164455413818"
"6","6.50169563293457","6.50169563293457","6.50169563293457"
"7","6.335456848144531","6.335456848144531","6.335456848144531"
"8","6.257803440093994","6.257803440093994","6.257803440093994"
"9","6.05560302734375","6.05560302734375","6.05560302734375"
"10","6.026423454284668","6.026423454284668","6.026423454284668"
"11","5.80819034576416","5.80819034576416","5.80819034576416"
"12","5.696908950805664","5.696908950805664","5.696908950805664"
"13","5.557174205780029","5.557174205780029","5.557174205780029"
"14","5.500237941741943","5.500237941741943","5.500237941741943"
"15","5.419256687164307","5.419256687164307","5.419256687164307"
"16","5.281927108764648","5.281927108764648","5.281927108764648"
"17","5.24072265625","5.24072265625","5.24072265625"
"18","5.074235439300537","5.074235439300537","5.074235439300537"
"19","5.041750907897949","5.041750907897949","5.041750907897949"
"20","4.938370227813721","4.938370227813721","4.938370227813721"
"21","4.966990947723389","4.966990947723389","4.966990947723389"
"22","4.856777191162109","4.856777191162109","4.856777191162109"
"23","4.737882137298584","4.737882137298584","4.737882137298584"
"24","4.854532718658447","4.854532718658447","4.854532718658447"
"25","4.819382190704346","4.819382190704346","4.819382190704346"
"26","4.721653461456299","4.721653461456299","4.721653461456299"
"27","4.845198631286621","4.845198631286621","4.845198631286621"
"28","4.660357475280762","4.660357475280762","4.660357475280762"
"29","4.618710041046143","4.618710041046143","4.618710041046143"
"30","4.6562581062316895","4.6562581062316895","4.6562581062316895"
"31","4.499670028686523","4.499670028686523","4.499670028686523"
"32","4.549294471740723","4.549294471740723","4.549294471740723"
"33","4.506950378417969","4.506950378417969","4.506950378417969"
"34","4.4126763343811035","4.4126763343811035","4.4126763343811035"
"35","4.4663543701171875","4.4663543701171875","4.4663543701171875"
"36","4.424890518188477","4.424890518188477","4.424890518188477"
"37","4.398164749145508","4.398164749145508","4.398164749145508"
"38","4.328183174133301","4.328183174133301","4.328183174133301"
"39","4.357818126678467","4.357818126678467","4.357818126678467"
"40","4.246227741241455","4.246227741241455","4.246227741241455"
"41","4.301119804382324","4.301119804382324","4.301119804382324"
"42","4.202356815338135","4.202356815338135","4.202356815338135"
"43","4.1811909675598145","4.1811909675598145","4.1811909675598145"
"44","4.159445285797119","4.159445285797119","4.159445285797119"
"45","4.132584095001221","4.132584095001221","4.132584095001221"
"46","4.042484283447266","4.042484283447266","4.042484283447266"
"47","4.019815444946289","4.019815444946289","4.019815444946289"
"48","3.937521457672119","3.937521457672119","3.937521457672119"
"49","3.9381399154663086","3.9381399154663086","3.9381399154663086"
"50","3.9813241958618164","3.9813241958618164","3.9813241958618164"
