"Step","6291456 - loss","6291456 - loss__MIN","6291456 - loss__MAX"
"1","7.091010093688965","7.091010093688965","7.091010093688965"
"2","6.921536922454834","6.921536922454834","6.921536922454834"
"4","6.595171928405762","6.595171928405762","6.595171928405762"
"5","6.434146404266357","6.434146404266357","6.434146404266357"
"6","6.2727460861206055","6.2727460861206055","6.2727460861206055"
"7","6.071556568145752","6.071556568145752","6.071556568145752"
"8","5.88165283203125","5.88165283203125","5.88165283203125"
"9","5.72379207611084","5.72379207611084","5.72379207611084"
"13","5.130110740661621","5.130110740661621","5.130110740661621"
"14","5.191098690032959","5.191098690032959","5.191098690032959"
"15","5.081944465637207","5.081944465637207","5.081944465637207"
"16","4.894928455352783","4.894928455352783","4.894928455352783"
"21","4.708315372467041","4.708315372467041","4.708315372467041"
"22","4.783227920532227","4.783227920532227","4.783227920532227"
"23","4.60921573638916","4.60921573638916","4.60921573638916"
"24","4.696884632110596","4.696884632110596","4.696884632110596"
"26","4.423446178436279","4.423446178436279","4.423446178436279"
"27","4.528502941131592","4.528502941131592","4.528502941131592"
"28","4.440452575683594","4.440452575683594","4.440452575683594"
"30","4.345210552215576","4.345210552215576","4.345210552215576"
"31","4.31215238571167","4.31215238571167","4.31215238571167"
"32","4.195333003997803","4.195333003997803","4.195333003997803"
"33","4.1925458908081055","4.1925458908081055","4.1925458908081055"
"34","4.285556316375732","4.285556316375732","4.285556316375732"
"36","3.9652225971221924","3.9652225971221924","3.9652225971221924"
"37","3.865961790084839","3.865961790084839","3.865961790084839"
"38","3.9367856979370117","3.9367856979370117","3.9367856979370117"
"39","3.858112335205078","3.858112335205078","3.858112335205078"
"40","3.9017398357391357","3.9017398357391357","3.9017398357391357"
"42","3.7407896518707275","3.7407896518707275","3.7407896518707275"
"43","3.6910839080810547","3.6910839080810547","3.6910839080810547"
"44","3.7875964641571045","3.7875964641571045","3.7875964641571045"
"45","3.7142462730407715","3.7142462730407715","3.7142462730407715"
"47","3.5598809719085693","3.5598809719085693","3.5598809719085693"
"48","3.536496877670288","3.536496877670288","3.536496877670288"
"49","3.518230676651001","3.518230676651001","3.518230676651001"
"50","3.489315986633301","3.489315986633301","3.489315986633301"
"53","3.4323625564575195","3.4323625564575195","3.4323625564575195"
"54","3.442387580871582","3.442387580871582","3.442387580871582"
"55","3.4149937629699707","3.4149937629699707","3.4149937629699707"
"56","3.446122169494629","3.446122169494629","3.446122169494629"
"57","3.4766571521759033","3.4766571521759033","3.4766571521759033"
"60","3.4891293048858643","3.4891293048858643","3.4891293048858643"
"61","3.3703367710113525","3.3703367710113525","3.3703367710113525"
"62","3.3442435264587402","3.3442435264587402","3.3442435264587402"
"63","3.3151378631591797","3.3151378631591797","3.3151378631591797"
"65","3.390727996826172","3.390727996826172","3.390727996826172"
"66","3.261042594909668","3.261042594909668","3.261042594909668"
"69","3.3795909881591797","3.3795909881591797","3.3795909881591797"
"70","3.372084379196167","3.372084379196167","3.372084379196167"
"71","3.243169069290161","3.243169069290161","3.243169069290161"
"72","3.3105950355529785","3.3105950355529785","3.3105950355529785"
"73","3.299706220626831","3.299706220626831","3.299706220626831"
"74","3.28444504737854","3.28444504737854","3.28444504737854"
"75","3.3531715869903564","3.3531715869903564","3.3531715869903564"
"77","3.2912192344665527","3.2912192344665527","3.2912192344665527"
"78","3.289613962173462","3.289613962173462","3.289613962173462"
"79","3.2404708862304688","3.2404708862304688","3.2404708862304688"
"81","3.269991874694824","3.269991874694824","3.269991874694824"
"82","3.2697973251342773","3.2697973251342773","3.2697973251342773"
"83","3.3133113384246826","3.3133113384246826","3.3133113384246826"
"84","3.2375130653381348","3.2375130653381348","3.2375130653381348"
"85","3.2928779125213623","3.2928779125213623","3.2928779125213623"
"87","3.2839486598968506","3.2839486598968506","3.2839486598968506"
"88","3.2824559211730957","3.2824559211730957","3.2824559211730957"
"90","3.2649967670440674","3.2649967670440674","3.2649967670440674"
"91","3.228586435317993","3.228586435317993","3.228586435317993"
"92","3.23948073387146","3.23948073387146","3.23948073387146"
"93","3.249495267868042","3.249495267868042","3.249495267868042"
"95","3.2419023513793945","3.2419023513793945","3.2419023513793945"
"98","3.13739275932312","3.13739275932312","3.13739275932312"
"99","3.2458951473236084","3.2458951473236084","3.2458951473236084"
"100","3.175449848175049","3.175449848175049","3.175449848175049"
"101","3.2674825191497803","3.2674825191497803","3.2674825191497803"
"102","3.266141653060913","3.266141653060913","3.266141653060913"
"103","3.1880385875701904","3.1880385875701904","3.1880385875701904"
"104","3.2459840774536133","3.2459840774536133","3.2459840774536133"
"105","3.2074780464172363","3.2074780464172363","3.2074780464172363"
"106","3.2640202045440674","3.2640202045440674","3.2640202045440674"
"107","3.2291460037231445","3.2291460037231445","3.2291460037231445"
"108","3.2615344524383545","3.2615344524383545","3.2615344524383545"
"109","3.121760368347168","3.121760368347168","3.121760368347168"
"110","3.2275679111480713","3.2275679111480713","3.2275679111480713"
"111","3.229562520980835","3.229562520980835","3.229562520980835"
"112","3.1055264472961426","3.1055264472961426","3.1055264472961426"
"113","3.1628899574279785","3.1628899574279785","3.1628899574279785"
"115","3.176669120788574","3.176669120788574","3.176669120788574"
"116","3.113449811935425","3.113449811935425","3.113449811935425"
"119","3.213965892791748","3.213965892791748","3.213965892791748"
"121","3.179140329360962","3.179140329360962","3.179140329360962"
"122","3.1639468669891357","3.1639468669891357","3.1639468669891357"
"124","3.135007381439209","3.135007381439209","3.135007381439209"
"125","3.1427528858184814","3.1427528858184814","3.1427528858184814"
"126","3.1005170345306396","3.1005170345306396","3.1005170345306396"
"127","3.1591603755950928","3.1591603755950928","3.1591603755950928"
"128","3.1405251026153564","3.1405251026153564","3.1405251026153564"
"129","3.019036293029785","3.019036293029785","3.019036293029785"
"130","3.1699020862579346","3.1699020862579346","3.1699020862579346"
"131","3.176466941833496","3.176466941833496","3.176466941833496"
"132","3.1501026153564453","3.1501026153564453","3.1501026153564453"
"133","3.097963809967041","3.097963809967041","3.097963809967041"
"135","3.1836397647857666","3.1836397647857666","3.1836397647857666"
"137","3.143178701400757","3.143178701400757","3.143178701400757"
"138","3.101463794708252","3.101463794708252","3.101463794708252"
"140","3.078294038772583","3.078294038772583","3.078294038772583"
"143","3.113459587097168","3.113459587097168","3.113459587097168"
