"Step","196608 - loss","196608 - loss__MIN","196608 - loss__MAX"
"1","7.096117973327637","7.096117973327637","7.096117973327637"
"2","7.041718482971191","7.041718482971191","7.041718482971191"
"3","6.983550071716309","6.983550071716309","6.983550071716309"
"5","6.872887134552002","6.872887134552002","6.872887134552002"
"6","6.825183868408203","6.825183868408203","6.825183868408203"
"7","6.756915092468262","6.756915092468262","6.756915092468262"
"8","6.71970272064209","6.71970272064209","6.71970272064209"
"10","6.613704204559326","6.613704204559326","6.613704204559326"
"11","6.5386271476745605","6.5386271476745605","6.5386271476745605"
"13","6.443526268005371","6.443526268005371","6.443526268005371"
"14","6.401427745819092","6.401427745819092","6.401427745819092"
"16","6.259377956390381","6.259377956390381","6.259377956390381"
"17","6.228122711181641","6.228122711181641","6.228122711181641"
"18","6.154507160186768","6.154507160186768","6.154507160186768"
"19","6.103808403015137","6.103808403015137","6.103808403015137"
"20","6.033618450164795","6.033618450164795","6.033618450164795"
"21","6.015594482421875","6.015594482421875","6.015594482421875"
"23","5.866676330566406","5.866676330566406","5.866676330566406"
"24","5.8297119140625","5.8297119140625","5.8297119140625"
"25","5.680732727050781","5.680732727050781","5.680732727050781"
"26","5.732907295227051","5.732907295227051","5.732907295227051"
"27","5.674241065979004","5.674241065979004","5.674241065979004"
"28","5.586391448974609","5.586391448974609","5.586391448974609"
"31","5.435818195343018","5.435818195343018","5.435818195343018"
"34","5.324769496917725","5.324769496917725","5.324769496917725"
"35","5.2921061515808105","5.2921061515808105","5.2921061515808105"
"40","5.059938430786133","5.059938430786133","5.059938430786133"
"43","5.138776779174805","5.138776779174805","5.138776779174805"
"44","4.996260166168213","4.996260166168213","4.996260166168213"
"46","4.979192733764648","4.979192733764648","4.979192733764648"
"47","4.985474109649658","4.985474109649658","4.985474109649658"
"48","4.9583868980407715","4.9583868980407715","4.9583868980407715"
"49","5.036379814147949","5.036379814147949","5.036379814147949"
"50","4.830410957336426","4.830410957336426","4.830410957336426"
"52","4.80176305770874","4.80176305770874","4.80176305770874"
"54","4.7743988037109375","4.7743988037109375","4.7743988037109375"
"55","4.7369465827941895","4.7369465827941895","4.7369465827941895"
"56","4.761889934539795","4.761889934539795","4.761889934539795"
"57","4.655106067657471","4.655106067657471","4.655106067657471"
"58","4.657829761505127","4.657829761505127","4.657829761505127"
"59","4.765265464782715","4.765265464782715","4.765265464782715"
"60","4.760156154632568","4.760156154632568","4.760156154632568"
"61","4.769134521484375","4.769134521484375","4.769134521484375"
"62","4.689006805419922","4.689006805419922","4.689006805419922"
"63","4.693295001983643","4.693295001983643","4.693295001983643"
"65","4.712559700012207","4.712559700012207","4.712559700012207"
"68","4.586551666259766","4.586551666259766","4.586551666259766"
"69","4.500126838684082","4.500126838684082","4.500126838684082"
"71","4.57887077331543","4.57887077331543","4.57887077331543"
"72","4.469234943389893","4.469234943389893","4.469234943389893"
"73","4.589095592498779","4.589095592498779","4.589095592498779"
"74","4.508626937866211","4.508626937866211","4.508626937866211"
"75","4.404622554779053","4.404622554779053","4.404622554779053"
"76","4.486032485961914","4.486032485961914","4.486032485961914"
"77","4.412113666534424","4.412113666534424","4.412113666534424"
"78","4.491118431091309","4.491118431091309","4.491118431091309"
"79","4.352302551269531","4.352302551269531","4.352302551269531"
"80","4.469331741333008","4.469331741333008","4.469331741333008"
"81","4.3644819259643555","4.3644819259643555","4.3644819259643555"
"83","4.415411949157715","4.415411949157715","4.415411949157715"
"84","4.309904098510742","4.309904098510742","4.309904098510742"
"85","4.384799480438232","4.384799480438232","4.384799480438232"
"86","4.147909164428711","4.147909164428711","4.147909164428711"
"88","4.216067790985107","4.216067790985107","4.216067790985107"
"89","4.252687931060791","4.252687931060791","4.252687931060791"
"92","4.151647567749023","4.151647567749023","4.151647567749023"
"94","4.132004737854004","4.132004737854004","4.132004737854004"
"95","4.1475067138671875","4.1475067138671875","4.1475067138671875"
"96","4.109928131103516","4.109928131103516","4.109928131103516"
"97","4.03261661529541","4.03261661529541","4.03261661529541"
"98","4.069782733917236","4.069782733917236","4.069782733917236"
"99","4.0222320556640625","4.0222320556640625","4.0222320556640625"
"100","4.029458045959473","4.029458045959473","4.029458045959473"
"101","3.977573871612549","3.977573871612549","3.977573871612549"
"103","4.019382476806641","4.019382476806641","4.019382476806641"
"105","3.9236257076263428","3.9236257076263428","3.9236257076263428"
"106","3.932847023010254","3.932847023010254","3.932847023010254"
"107","3.922971725463867","3.922971725463867","3.922971725463867"
"108","3.8782036304473877","3.8782036304473877","3.8782036304473877"
"109","3.9030957221984863","3.9030957221984863","3.9030957221984863"
"111","3.800825357437134","3.800825357437134","3.800825357437134"
"112","3.815793991088867","3.815793991088867","3.815793991088867"
